council,option,status,final
Barnet,https://barnet.gov.uk/,,"HTTPSConnectionPool(host='barnet.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='barnet.gov.uk', port=443): Failed to resolve 'barnet.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Barnet,https://www.barnet.gov.uk/,,"HTTPSConnectionPool(host='www.barnet.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.barnet.gov.uk', port=443): Failed to resolve 'www.barnet.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Barnet,https://democracy.barnet.gov.uk/,,"HTTPSConnectionPool(host='democracy.barnet.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.barnet.gov.uk', port=443): Failed to resolve 'democracy.barnet.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Barnet,https://barnet.moderngov.co.uk/,,"HTTPSConnectionPool(host='barnet.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='barnet.moderngov.co.uk', port=443): Failed to resolve 'barnet.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Barnet,https://barnet.gov.uk/meetings/,,"HTTPSConnectionPool(host='barnet.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='barnet.gov.uk', port=443): Failed to resolve 'barnet.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://bassetlaw.gov.uk/,,"HTTPSConnectionPool(host='bassetlaw.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bassetlaw.gov.uk', port=443): Failed to resolve 'bassetlaw.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://www.bassetlaw.gov.uk/,,"HTTPSConnectionPool(host='www.bassetlaw.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.bassetlaw.gov.uk', port=443): Failed to resolve 'www.bassetlaw.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://democracy.bassetlaw.gov.uk/,,"HTTPSConnectionPool(host='democracy.bassetlaw.gov.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bassetlaw.gov.uk', port=443): Failed to resolve 'democracy.bassetlaw.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://bassetlaw.moderngov.co.uk/,,"HTTPSConnectionPool(host='bassetlaw.moderngov.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='bassetlaw.moderngov.co.uk', port=443): Failed to resolve 'bassetlaw.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bassetlaw,https://bassetlaw.gov.uk/meetings/,,"HTTPSConnectionPool(host='bassetlaw.gov.uk', port=443): Max retries exceeded with url: /meetings/ (Caused by NameResolutionError(""HTTPSConnection(host='bassetlaw.gov.uk', port=443): Failed to resolve 'bassetlaw.gov.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
