Oxfordshire,https://oxfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Pendle,https://pendle.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Powys,https://powys.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Renfrewshire,https://renfrewshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Ribble Valley,https://ribblevalley.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Rochdale,https://rochdale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Shropshire,https://shropshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Somerset,https://somerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Holland,https://southholland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Lanarkshire,https://southlanarkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Southend-on-Sea,https://southend-on-sea.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
St. Helens,https://sthelens.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Staffordshire,https://staffordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Stratford-on-Avon,https://stratford-on-avon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Suffolk,https://suffolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Swale,https://swale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tameside,https://tameside.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Teignbridge,https://teignbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tendring,https://tendring.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thanet,https://thanet.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Thurrock,https://thurrock.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Torfaen,https://torfaen.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Uttlesford,https://uttlesford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Warwickshire,https://warwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Northamptonshire,https://westnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
West Sussex,https://westsussex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wiltshire,https://wiltshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Windsor and Maidenhead,https://windsorandmaidenhead.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Wolverhampton,https://wolverhampton.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcester,https://worcester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Worcestershire,https://worcestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
