name,council,reason
Craig Morris,West Northamptonshire,missing_register_url
Charlie Hastie,West Northamptonshire,missing_register_url
Daniel Rainbird,West Northamptonshire,missing_register_url
David Gaskell,West Northamptonshire,missing_register_url
Glenn Butcher,West Northamptonshire,missing_register_url
Debra King,West Northamptonshire,missing_register_url
Hayley Adkins,West Northamptonshire,missing_register_url
Ivan Dabbs,West Northamptonshire,missing_register_url
Jasmine Rainbird,West Northamptonshire,missing_register_url
James Petter,West Northamptonshire,missing_register_url
Jeffrey Johnson,West Northamptonshire,missing_register_url
John East,West Northamptonshire,missing_register_url
Joanne Blythe,West Northamptonshire,missing_register_url
John Slope,West Northamptonshire,missing_register_url
Alan Benson,Thurrock,missing_register_url
Alex Anderson,Thurrock,missing_register_url
Russell Cherry,Thurrock,missing_register_url
Kathryn Shaw,West Northamptonshire,missing_register_url
Kamala Guliyeva,West Northamptonshire,missing_register_url
Laura Couse,West Northamptonshire,missing_register_url
Mark Arnull,West Northamptonshire,missing_register_url
Mark Deakes,West Northamptonshire,missing_register_url
Michael Stratton,West Northamptonshire,missing_register_url
Nicholas Humphries,West Northamptonshire,missing_register_url
Nigel Berrill,West Northamptonshire,missing_register_url
Peter York,West Northamptonshire,missing_register_url
Nigel Stansfield,West Northamptonshire,missing_register_url
Richard Pipes,West Northamptonshire,missing_register_url
Richard Butler,West Northamptonshire,missing_register_url
Ronald Firman,West Northamptonshire,missing_register_url
Scott Packer,West Northamptonshire,missing_register_url
Silas Hays,West Northamptonshire,missing_register_url
Susan Gaskell,West Northamptonshire,missing_register_url
Thomas Manning,West Northamptonshire,missing_register_url
Trefor Hughes,West Northamptonshire,missing_register_url
Vincent Clive,West Northamptonshire,missing_register_url
Andrew Baldwin,West Sussex,missing_register_url
Gary Markwell,West Sussex,missing_register_url
Paul Linehan,West Sussex,missing_register_url
Trevor Bence,West Sussex,missing_register_url
Augusta Urquhart-Nicholls,Wiltshire,missing_register_url
Chris Brautigam,Wiltshire,missing_register_url
Boaz Barry,Wiltshire,missing_register_url
Chris Vaughan,Wiltshire,missing_register_url
Dave Lumsden,Wiltshire,missing_register_url
Ed Rimmer,Wiltshire,missing_register_url
Keith Allen,Wiltshire,missing_register_url
Kevin Asplin,Wiltshire,missing_register_url
Mike Sankey,Wiltshire,missing_register_url
Robert Smith,Wiltshire,missing_register_url
David Buckley,Windsor and Maidenhead,missing_register_url
Alan Amos,Worcestershire,missing_register_url
Anthony Upton,Worcestershire,missing_register_url
Ashley Monk,Worcestershire,missing_register_url
Bill Hopkins,Worcestershire,missing_register_url
Dave Aubrey,Worcestershire,missing_register_url
Dave Edmonds,Worcestershire,missing_register_url
David Taylor,Worcestershire,missing_register_url
Alan Amos,Worcester,missing_register_url
Gaynor Jean-Louis,Worcestershire,missing_register_url
Ian Cresswell,Worcestershire,missing_register_url
Jenny Shaw,Worcestershire,missing_register_url
Justin Bowen,Worcestershire,missing_register_url
Anita Stanley,Wolverhampton,missing_register_url
Jo Monk,Worcestershire,missing_register_url
Karl Perks,Worcestershire,missing_register_url
Mark Crosby,Worcestershire,missing_register_url
Mark Dunkley,Worcestershire,missing_register_url
Matthew Jones,Worcestershire,missing_register_url
Michele Hulme,Worcestershire,missing_register_url
Nik Price,Worcestershire,missing_register_url
Owen Cleary,Worcestershire,missing_register_url
Peter Turner,Worcestershire,missing_register_url
Richard Tudge,Worcestershire,missing_register_url
Rob Wharton,Worcestershire,missing_register_url
Sam Bastow,Worcestershire,missing_register_url
Satinder Bell,Worcestershire,missing_register_url
Roger Bennett,Worcestershire,missing_register_url
Sue Eacock,Worcestershire,missing_register_url
Stephen Foster,Worcestershire,missing_register_url
Alice Jones,Wyre,missing_register_url
David Higgs,Wyre,missing_register_url
Paul Ellison,Wyre,missing_register_url
James Crawford,Wyre,missing_register_url
