council,council_url,councillor_index_url
North East Derbyshire,https://northeastderbyshire.gov.uk/,https://northeastderbyshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North East Lincolnshire,https://northeastlincolnshire.gov.uk/,https://northeastlincolnshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Northamptonshire,https://northnorthamptonshire.gov.uk/,https://northnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Somerset,https://northsomerset.gov.uk/,https://northsomerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Warwickshire,https://northwarwickshire.gov.uk/,https://northwarwickshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North West Leicestershire,https://northwestleicestershire.gov.uk/,https://northwestleicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
North Yorkshire,https://northyorkshire.gov.uk/,https://northyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Northumberland,https://northumberland.gov.uk/,https://northumberland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Nottinghamshire,https://nottinghamshire.gov.uk/,https://nottinghamshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Oxfordshire,https://oxfordshire.gov.uk/,https://oxfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Pendle,https://pendle.gov.uk/,https://pendle.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Powys,https://powys.gov.uk/,https://powys.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Renfrewshire,https://renfrewshire.gov.uk/,https://renfrewshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Ribble Valley,https://ribblevalley.gov.uk/,https://ribblevalley.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Rochdale,https://rochdale.gov.uk/,https://rochdale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Shropshire,https://shropshire.gov.uk/,https://shropshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Somerset,https://somerset.gov.uk/,https://somerset.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Holland,https://southholland.gov.uk/,https://southholland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
South Lanarkshire,https://southlanarkshire.gov.uk/,https://southlanarkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Southend-on-Sea,https://southendonsea.gov.uk/,https://southend-on-sea.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
St. Helens,https://sthelens.gov.uk/,https://sthelens.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Staffordshire,https://staffordshire.gov.uk/,https://staffordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Stratford-on-Avon,https://stratfordonavon.gov.uk/,https://stratford-on-avon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Suffolk,https://suffolk.gov.uk/,https://suffolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Swale,https://swale.gov.uk/,https://swale.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
Tameside,https://tameside.gov.uk/,https://tameside.moderngov.co.uk/mgMemberIndex.aspx?bcr=1
