council,index_url,error
Cambridgeshire,https://cambridgeshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cambridgeshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.moderngov.co.uk', port=443): Failed to resolve 'cambridgeshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://cheshireeast.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cheshireeast.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.moderngov.co.uk', port=443): Failed to resolve 'cheshireeast.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire West and Chester,https://cheshirewestandchester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cheshirewestandchester.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshirewestandchester.moderngov.co.uk', port=443): Failed to resolve 'cheshirewestandchester.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Chorley,https://chorley.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='chorley.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='chorley.moderngov.co.uk', port=443): Failed to resolve 'chorley.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cornwall,https://cornwall.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='cornwall.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cornwall.moderngov.co.uk', port=443): Failed to resolve 'cornwall.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Dartford,https://dartford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='dartford.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='dartford.moderngov.co.uk', port=443): Failed to resolve 'dartford.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Derbyshire,https://derbyshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='derbyshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='derbyshire.moderngov.co.uk', port=443): Failed to resolve 'derbyshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Devon,https://devon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='devon.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='devon.moderngov.co.uk', port=443): Failed to resolve 'devon.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Doncaster,https://doncaster.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='doncaster.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='doncaster.moderngov.co.uk', port=443): Failed to resolve 'doncaster.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Durham,https://durham.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"HTTPSConnectionPool(host='durham.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='durham.moderngov.co.uk', port=443): Failed to resolve 'durham.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
