council,councillor_index_url,error
Pendle,https://democracy.pendle.gov.uk/mgMemberIndex.aspx?bcr=1 | https://pendle.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.pendle.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.pendle.gov.uk', port=443): Failed to resolve 'democracy.pendle.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='pendle.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='pendle.moderngov.co.uk', port=443): Failed to resolve 'pendle.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Renfrewshire,https://democracy.renfrewshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://renfrewshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.renfrewshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.renfrewshire.gov.uk', port=443): Failed to resolve 'democracy.renfrewshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='renfrewshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='renfrewshire.moderngov.co.uk', port=443): Failed to resolve 'renfrewshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Shropshire,https://democracy.shropshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://shropshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.shropshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.shropshire.gov.uk', port=443): Failed to resolve 'democracy.shropshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='shropshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='shropshire.moderngov.co.uk', port=443): Failed to resolve 'shropshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
South Holland,https://democracy.southholland.gov.uk/mgMemberIndex.aspx?bcr=1 | https://southholland.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southholland.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southholland.gov.uk', port=443): Failed to resolve 'democracy.southholland.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='southholland.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='southholland.moderngov.co.uk', port=443): Failed to resolve 'southholland.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
South Lanarkshire,https://democracy.southlanarkshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://southlanarkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southlanarkshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southlanarkshire.gov.uk', port=443): Failed to resolve 'democracy.southlanarkshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='southlanarkshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='southlanarkshire.moderngov.co.uk', port=443): Failed to resolve 'southlanarkshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Southend-on-Sea,https://democracy.southendonsea.gov.uk/mgMemberIndex.aspx?bcr=1 | https://southendonsea.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.southendonsea.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.southendonsea.gov.uk', port=443): Failed to resolve 'democracy.southendonsea.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='southendonsea.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='southendonsea.moderngov.co.uk', port=443): Failed to resolve 'southendonsea.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Stratford-on-Avon,https://democracy.stratfordonavon.gov.uk/mgMemberIndex.aspx?bcr=1 | https://stratfordonavon.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.stratfordonavon.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.stratfordonavon.gov.uk', port=443): Failed to resolve 'democracy.stratfordonavon.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='stratfordonavon.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='stratfordonavon.moderngov.co.uk', port=443): Failed to resolve 'stratfordonavon.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Suffolk,https://democracy.suffolk.gov.uk/mgMemberIndex.aspx?bcr=1 | https://suffolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.suffolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.suffolk.gov.uk', port=443): Failed to resolve 'democracy.suffolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='suffolk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='suffolk.moderngov.co.uk', port=443): Failed to resolve 'suffolk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Tendring,https://democracy.tendring.gov.uk/mgMemberIndex.aspx?bcr=1 | https://tendring.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.tendring.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.tendring.gov.uk', port=443): Failed to resolve 'democracy.tendring.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='tendring.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='tendring.moderngov.co.uk', port=443): Failed to resolve 'tendring.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Torfaen,https://democracy.torfaen.gov.uk/mgMemberIndex.aspx?bcr=1 | https://torfaen.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.torfaen.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.torfaen.gov.uk', port=443): Failed to resolve 'democracy.torfaen.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='torfaen.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='torfaen.moderngov.co.uk', port=443): Failed to resolve 'torfaen.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
West Northamptonshire,https://democracy.westnorthamptonshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://westnorthamptonshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.westnorthamptonshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.westnorthamptonshire.gov.uk', port=443): Failed to resolve 'democracy.westnorthamptonshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='westnorthamptonshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='westnorthamptonshire.moderngov.co.uk', port=443): Failed to resolve 'westnorthamptonshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Wiltshire,https://democracy.wiltshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://wiltshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.wiltshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.wiltshire.gov.uk', port=443): Failed to resolve 'democracy.wiltshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='wiltshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='wiltshire.moderngov.co.uk', port=443): Failed to resolve 'wiltshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Windsor and Maidenhead,https://democracy.windsorandmaidenhead.gov.uk/mgMemberIndex.aspx?bcr=1 | https://windsorandmaidenhead.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.windsorandmaidenhead.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.windsorandmaidenhead.gov.uk', port=443): Failed to resolve 'democracy.windsorandmaidenhead.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='windsorandmaidenhead.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='windsorandmaidenhead.moderngov.co.uk', port=443): Failed to resolve 'windsorandmaidenhead.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Worcester,https://democracy.worcester.gov.uk/mgMemberIndex.aspx?bcr=1 | https://worcester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.worcester.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.worcester.gov.uk', port=443): Failed to resolve 'democracy.worcester.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='worcester.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='worcester.moderngov.co.uk', port=443): Failed to resolve 'worcester.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
