council,councillor_index_url,error
Ashford,https://democracy.ashford.gov.uk/mgMemberIndex.aspx?bcr=1 | https://ashford.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.ashford.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.ashford.gov.uk', port=443): Failed to resolve 'democracy.ashford.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='ashford.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='ashford.moderngov.co.uk', port=443): Failed to resolve 'ashford.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bolsover,https://democracy.bolsover.gov.uk/mgMemberIndex.aspx?bcr=1 | https://bolsover.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.bolsover.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bolsover.gov.uk', port=443): Failed to resolve 'democracy.bolsover.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='bolsover.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bolsover.moderngov.co.uk', port=443): Failed to resolve 'bolsover.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Bridgend,https://democracy.bridgend.gov.uk/mgMemberIndex.aspx?bcr=1 | https://bridgend.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.bridgend.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.bridgend.gov.uk', port=443): Failed to resolve 'democracy.bridgend.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='bridgend.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='bridgend.moderngov.co.uk', port=443): Failed to resolve 'bridgend.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cambridgeshire,https://democracy.cambridgeshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cambridgeshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cambridgeshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cambridgeshire.gov.uk', port=443): Failed to resolve 'democracy.cambridgeshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cambridgeshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cambridgeshire.moderngov.co.uk', port=443): Failed to resolve 'cambridgeshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire East,https://democracy.cheshireeast.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cheshireeast.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cheshireeast.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cheshireeast.gov.uk', port=443): Failed to resolve 'democracy.cheshireeast.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cheshireeast.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshireeast.moderngov.co.uk', port=443): Failed to resolve 'cheshireeast.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Cheshire West and Chester,https://democracy.cheshirewestandchester.gov.uk/mgMemberIndex.aspx?bcr=1 | https://cheshirewestandchester.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.cheshirewestandchester.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.cheshirewestandchester.gov.uk', port=443): Failed to resolve 'democracy.cheshirewestandchester.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='cheshirewestandchester.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='cheshirewestandchester.moderngov.co.uk', port=443): Failed to resolve 'cheshirewestandchester.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Hertfordshire,https://democracy.easthertfordshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://easthertfordshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.easthertfordshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.easthertfordshire.gov.uk', port=443): Failed to resolve 'democracy.easthertfordshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='easthertfordshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='easthertfordshire.moderngov.co.uk', port=443): Failed to resolve 'easthertfordshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Lindsey,https://democracy.eastlindsey.gov.uk/mgMemberIndex.aspx?bcr=1 | https://eastlindsey.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.eastlindsey.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.eastlindsey.gov.uk', port=443): Failed to resolve 'democracy.eastlindsey.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='eastlindsey.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastlindsey.moderngov.co.uk', port=443): Failed to resolve 'eastlindsey.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
East Riding of Yorkshire,https://democracy.eastridingofyorkshire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://eastridingofyorkshire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.eastridingofyorkshire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.eastridingofyorkshire.gov.uk', port=443): Failed to resolve 'democracy.eastridingofyorkshire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='eastridingofyorkshire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='eastridingofyorkshire.moderngov.co.uk', port=443): Failed to resolve 'eastridingofyorkshire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Elmbridge,https://democracy.elmbridge.gov.uk/mgMemberIndex.aspx?bcr=1 | https://elmbridge.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.elmbridge.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.elmbridge.gov.uk', port=443): Failed to resolve 'democracy.elmbridge.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='elmbridge.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='elmbridge.moderngov.co.uk', port=443): Failed to resolve 'elmbridge.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Essex,https://democracy.essex.gov.uk/mgMemberIndex.aspx?bcr=1 | https://essex.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.essex.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.essex.gov.uk', port=443): Failed to resolve 'democracy.essex.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='essex.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='essex.moderngov.co.uk', port=443): Failed to resolve 'essex.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Exeter,https://democracy.exeter.gov.uk/mgMemberIndex.aspx?bcr=1 | https://exeter.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.exeter.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.exeter.gov.uk', port=443): Failed to resolve 'democracy.exeter.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='exeter.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='exeter.moderngov.co.uk', port=443): Failed to resolve 'exeter.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Falkirk,https://democracy.falkirk.gov.uk/mgMemberIndex.aspx?bcr=1 | https://falkirk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.falkirk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.falkirk.gov.uk', port=443): Failed to resolve 'democracy.falkirk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='falkirk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='falkirk.moderngov.co.uk', port=443): Failed to resolve 'falkirk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Folkestone and Hythe,https://democracy.folkestoneandhythe.gov.uk/mgMemberIndex.aspx?bcr=1 | https://folkestoneandhythe.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.folkestoneandhythe.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.folkestoneandhythe.gov.uk', port=443): Failed to resolve 'democracy.folkestoneandhythe.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='folkestoneandhythe.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='folkestoneandhythe.moderngov.co.uk', port=443): Failed to resolve 'folkestoneandhythe.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Forest of Dean,https://democracy.forestofdean.gov.uk/mgMemberIndex.aspx?bcr=1 | https://forestofdean.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.forestofdean.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.forestofdean.gov.uk', port=443): Failed to resolve 'democracy.forestofdean.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='forestofdean.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='forestofdean.moderngov.co.uk', port=443): Failed to resolve 'forestofdean.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Glasgow City,https://democracy.glasgowcity.gov.uk/mgMemberIndex.aspx?bcr=1 | https://glasgowcity.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.glasgowcity.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.glasgowcity.gov.uk', port=443): Failed to resolve 'democracy.glasgowcity.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='glasgowcity.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='glasgowcity.moderngov.co.uk', port=443): Failed to resolve 'glasgowcity.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Hartlepool,https://democracy.hartlepool.gov.uk/mgMemberIndex.aspx?bcr=1 | https://hartlepool.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.hartlepool.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.hartlepool.gov.uk', port=443): Failed to resolve 'democracy.hartlepool.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='hartlepool.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='hartlepool.moderngov.co.uk', port=443): Failed to resolve 'hartlepool.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Isle of Wight,https://democracy.isleofwight.gov.uk/mgMemberIndex.aspx?bcr=1 | https://isleofwight.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.isleofwight.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.isleofwight.gov.uk', port=443): Failed to resolve 'democracy.isleofwight.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='isleofwight.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='isleofwight.moderngov.co.uk', port=443): Failed to resolve 'isleofwight.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
King's Lynn and West Norfolk,https://democracy.kingslynnandwestnorfolk.gov.uk/mgMemberIndex.aspx?bcr=1 | https://kingslynnandwestnorfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.kingslynnandwestnorfolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.kingslynnandwestnorfolk.gov.uk', port=443): Failed to resolve 'democracy.kingslynnandwestnorfolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='kingslynnandwestnorfolk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='kingslynnandwestnorfolk.moderngov.co.uk', port=443): Failed to resolve 'kingslynnandwestnorfolk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Leicestershire,https://democracy.leicestershire.gov.uk/mgMemberIndex.aspx?bcr=1 | https://leicestershire.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.leicestershire.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.leicestershire.gov.uk', port=443): Failed to resolve 'democracy.leicestershire.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='leicestershire.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='leicestershire.moderngov.co.uk', port=443): Failed to resolve 'leicestershire.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Newcastle-under-Lyme,https://democracy.newcastleunderlyme.gov.uk/mgMemberIndex.aspx?bcr=1 | https://newcastleunderlyme.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.newcastleunderlyme.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.newcastleunderlyme.gov.uk', port=443): Failed to resolve 'democracy.newcastleunderlyme.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='newcastleunderlyme.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='newcastleunderlyme.moderngov.co.uk', port=443): Failed to resolve 'newcastleunderlyme.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
Norfolk,https://democracy.norfolk.gov.uk/mgMemberIndex.aspx?bcr=1 | https://norfolk.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,"Request failed: HTTPSConnectionPool(host='democracy.norfolk.gov.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='democracy.norfolk.gov.uk', port=443): Failed to resolve 'democracy.norfolk.gov.uk' ([Errno 8] nodename nor servname provided, or not known)"")) | Request failed: HTTPSConnectionPool(host='norfolk.moderngov.co.uk', port=443): Max retries exceeded with url: /mgMemberIndex.aspx?bcr=1 (Caused by NameResolutionError(""HTTPSConnection(host='norfolk.moderngov.co.uk', port=443): Failed to resolve 'norfolk.moderngov.co.uk' ([Errno 8] nodename nor servname provided, or not known)""))"
